CustomerID,CompanyName,SalesPerson
1,A Bike Store,adventure-works\pamela0
2,Progressive Sports,adventure-works\david8
3,Advanced Bike Components,adventure-works\jillian0
4,Modular Cycle Systems,adventure-works\jillian0
5,Metropolitan Sports Supply,adventure-works\shu0
6,Aerobic Exercise Company,adventure-works\linda3
7,Associated Bikes,adventure-works\shu0
10,Rural Cycle Emporium,adventure-works\josé1
11,Sharp Bikes,adventure-works\josé1
12,Bikes and Motorbikes,adventure-works\garrett1
16,Bulk Discount Store,adventure-works\jae0
18,Catalog Store,adventure-works\michael9
19,Center Cycle Shop,adventure-works\pamela0
20,Central Discount Store,adventure-works\david8
21,Chic Department Stores,adventure-works\jillian0
22,Travel Systems,adventure-works\jillian0
23,Bike World,adventure-works\shu0
24,Eastside Department Store,adventure-works\linda3
25,Coalition Bike Company,adventure-works\shu0
28,Commuter Bicycle Store,adventure-works\josé1
29,Cross-Country Riding Supplies,adventure-works\josé1
30,Cycle Merchants,adventure-works\garrett1
34,Cycles Wholesaler & Mfg.,adventure-works\jae0
37,Two Bike Shops,adventure-works\pamela0
38,Finer Mart,adventure-works\david8
39,Fitness Hotel,adventure-works\jillian0
40,Journey Sporting Goods,adventure-works\jillian0
41,Distant Inn,adventure-works\shu0
42,Healthy Activity Store,adventure-works\linda3
43,Frugal Bike Shop,adventure-works\shu0
46,Gear-Shift Bikes Limited,adventure-works\josé1
47,Greater Bike Store,adventure-works\josé1
48,Grand Industries,adventure-works\garrett1
52,Instruments and Parts Company,adventure-works\jae0
55,Kickstands and Accessories Company,adventure-works\pamela0
56,Latest Accessories Sales,adventure-works\david8
57,Leading Sales & Repair,adventure-works\jillian0
58,Largest Bike Store,adventure-works\jillian0
59,Locks Company,adventure-works\shu0
60,Main Bicycle Services,adventure-works\linda3
61,Many Bikes Store,adventure-works\shu0
64,Metal Clearing House,adventure-works\josé1
65,Metro Manufacturing,adventure-works\josé1
66,Neighborhood Store,adventure-works\garrett1
70,Outdoor Aerobic Systems Company,adventure-works\jae0
73,Outdoor Sports Supply,adventure-works\pamela0
74,Parcel Express Delivery Service,adventure-works\david8
75,Paint Supply,adventure-works\jillian0
76,Out-of-the-Way Hotels,adventure-works\jillian0
77,Mechanical Products Ltd.,adventure-works\shu0
78,Preferred Bikes,adventure-works\linda3
79,Reasonable Bicycle Sales,adventure-works\shu0
82,Refined Department Stores,adventure-works\josé1
83,Requisite Part Supply,adventure-works\josé1
84,Rewarding Activities Company,adventure-works\garrett1
88,Closest Bicycle Store,adventure-works\jae0
91,Scooters and Bikes Store,adventure-works\pamela0
92,Sports Commodities,adventure-works\david8
93,Stationary Bikes and Stands,adventure-works\jillian0
94,Specialty Sports Store,adventure-works\jillian0
95,Rural Department Store,adventure-works\shu0
96,More Bikes!,adventure-works\linda3
97,Mountain Bike Center,adventure-works\shu0
100,Up-To-Date Sports,adventure-works\josé1
